event_time,down_time,pressure,major_axis,minor_axis,size,user
175185424,175185424,0.71250004,188.52902,188.52902,0.140625,0
175185440,175185424,0.725,188.52902,188.52902,0.140625,0
175185472,175185424,0.6875,188.52902,188.52902,0.140625,0
175185504,175185424,0.45000002,188.52902,188.52902,0.140625,0
175185504,175185424,0.45000002,188.52902,188.52902,0.140625,0
175185600,175185600,0.6875,188.52902,188.52902,0.140625,0
175185632,175185600,0.725,188.52902,188.52902,0.140625,0
175185648,175185600,0.725,188.52902,188.52902,0.140625,0
175185680,175185600,0.6125,188.52902,188.52902,0.140625,0
175185680,175185600,0.4625,188.52902,188.52902,0.140625,0
175185696,175185600,0.4625,188.52902,188.52902,0.140625,0
175185792,175185792,0.71250004,188.52902,188.52902,0.140625,0
175185808,175185792,0.725,188.52902,188.52902,0.140625,0
175185824,175185792,0.71250004,188.52902,188.52902,0.140625,0
175185856,175185792,0.625,188.52902,188.52902,0.140625,0
175185856,175185792,0.625,188.52902,188.52902,0.140625,0
175185968,175185968,0.58750004,188.52902,188.52902,0.140625,0
175186000,175185968,0.725,188.52902,188.52902,0.140625,0
175186016,175185968,0.71250004,188.52902,188.52902,0.140625,0
175186048,175185968,0.625,188.52902,188.52902,0.125,0
175186048,175185968,0.4125,188.52902,188.52902,0.125,0
175186064,175185968,0.4125,188.52902,188.52902,0.125,0
175186160,175186160,0.6625,188.52902,188.52902,0.140625,0
175186176,175186160,0.71250004,188.52902,188.52902,0.140625,0
175186208,175186160,0.71250004,188.52902,188.52902,0.140625,0
175186208,175186160,0.65000004,188.52902,188.52902,0.140625,0
175186224,175186160,0.65000004,188.52902,188.52902,0.140625,0
175186320,175186320,0.65000004,188.52902,188.52902,0.140625,0
175186336,175186320,0.7,188.52902,188.52902,0.140625,0
175186384,175186320,0.7,188.52902,188.52902,0.140625,0
175186400,175186320,0.625,188.52902,188.52902,0.140625,0
175186400,175186320,0.625,188.52902,188.52902,0.140625,0
175186512,175186512,0.625,188.52902,188.52902,0.125,0
175186528,175186512,0.7375,188.52902,188.52902,0.140625,0
175186560,175186512,0.7375,188.52902,188.52902,0.140625,0
175186592,175186512,0.6375,188.52902,188.52902,0.140625,0
175186592,175186512,0.575,188.52902,188.52902,0.140625,0
175186592,175186512,0.575,188.52902,188.52902,0.140625,0
175186704,175186704,0.6,188.52902,188.52902,0.125,0
175186736,175186704,0.71250004,188.52902,188.52902,0.140625,0
175186768,175186704,0.7,188.52902,188.52902,0.140625,0
175186784,175186704,0.4375,188.52902,188.52902,0.125,0
175186800,175186704,0.4375,188.52902,188.52902,0.125,0
175186880,175186880,0.5625,188.52902,188.52902,0.125,0
175186912,175186880,0.725,188.52902,188.52902,0.140625,0
175186928,175186880,0.7375,188.52902,188.52902,0.140625,0
175186960,175186880,0.6875,188.52902,188.52902,0.140625,0
175186960,175186880,0.4375,146.4421,146.4421,0.109375,0
175186976,175186880,0.4375,146.4421,146.4421,0.109375,0
175187072,175187072,0.6875,188.52902,188.52902,0.140625,0
175187104,175187072,0.725,188.52902,188.52902,0.140625,0
175187120,175187072,0.71250004,188.52902,188.52902,0.140625,0
175187152,175187072,0.4875,188.52902,188.52902,0.125,0
175187168,175187072,0.4875,188.52902,188.52902,0.125,0
175187264,175187264,0.675,188.52902,188.52902,0.140625,0
175187296,175187264,0.725,188.52902,188.52902,0.140625,0
175187312,175187264,0.71250004,188.52902,188.52902,0.140625,0
175187328,175187264,0.6125,188.52902,188.52902,0.140625,0
175187328,175187264,0.6125,188.52902,188.52902,0.140625,0
175187440,175187440,0.6625,188.52902,188.52902,0.140625,0
175187472,175187440,0.725,188.52902,188.52902,0.140625,0
175187504,175187440,0.65000004,188.52902,188.52902,0.140625,0
175187520,175187440,0.575,188.52902,188.52902,0.140625,0
175187520,175187440,0.575,188.52902,188.52902,0.140625,0
175187616,175187616,0.6875,188.52902,188.52902,0.140625,0
175187648,175187616,0.71250004,188.52902,188.52902,0.140625,0
175187664,175187616,0.725,188.52902,188.52902,0.140625,0
175187696,175187616,0.675,188.52902,188.52902,0.140625,0
175187696,175187616,0.52500004,146.4421,146.4421,0.109375,0
175187712,175187616,0.52500004,146.4421,146.4421,0.109375,0
175187792,175187792,0.7,188.52902,188.52902,0.140625,0
175187824,175187792,0.71250004,188.52902,188.52902,0.140625,0
175187840,175187792,0.7,188.52902,188.52902,0.140625,0
175187872,175187792,0.5625,188.52902,188.52902,0.140625,0
175187872,175187792,0.5625,188.52902,188.52902,0.140625,0
175187984,175187984,0.65000004,188.52902,188.52902,0.140625,0
175188016,175187984,0.71250004,188.52902,188.52902,0.140625,0
175188048,175187984,0.6125,146.4421,146.4421,0.109375,0
175188048,175187984,0.375,146.4421,146.4421,0.109375,0
175188064,175187984,0.375,146.4421,146.4421,0.109375,0
175188144,175188144,0.6375,188.52902,188.52902,0.140625,0
175188176,175188144,0.725,188.52902,188.52902,0.140625,0
175188192,175188144,0.725,188.52902,188.52902,0.140625,0
175188224,175188144,0.6875,188.52902,188.52902,0.140625,0
175188224,175188144,0.6125,146.4421,146.4421,0.109375,0
175188240,175188144,0.6125,146.4421,146.4421,0.109375,0
